자치구코드,자치구명,법정동코드,법정동명,본번,부번,건물명,계약일,물건금액,건물면적,층,건축년도,건물용도,신고구분
11650,서초구,10100,방배동,1038,0000,대우(효령),20241219,175000,84.91,11,1992,아파트,중개거래
11650,서초구,10100,방배동,0001,0035,상지리츠빌8차,20241219,185000,125.84,1,2005,아파트,중개거래
11650,서초구,10800,서초동,1755,0000,래미안 리더스원,20241219,268000,59.97,12,2020,아파트,중개거래
11650,서초구,10100,방배동,0725,0000,방배신삼호,20241219,266000,105.04,3,1983,아파트,중개거래
11650,서초구,10700,반포동,0060,0004,반포미도,20241219,280000,84.96,1,1987,아파트,중개거래
11650,서초구,10100,방배동,3284,0000,엘루크방배서리풀,20241218,94900,32.383,7,2024,아파트,직거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241218,840000,133.91,15,2023,아파트,중개거래
11650,서초구,10800,서초동,1682,0000,서초래미안,20241218,236000,84.97,19,2003,아파트,중개거래
11650,서초구,10700,반포동,0001,0000,래미안원베일리,20241217,640000,116.97,13,2023,아파트,중개거래
11650,서초구,10300,우면동,0788,0000,엘에이치서초4단지,20241217,145000,84.95,18,2013,아파트,중개거래
11650,서초구,10600,잠원동,0061,0001,신반포25,20241217,299000,84.49,12,1984,아파트,중개거래
11650,서초구,10800,서초동,1615,0010,극동스타클래스2,20241217,129000,59.97,7,2006,아파트,중개거래
11650,서초구,10100,방배동,3283,0000,방배그랑자이,20241216,414000,133.876,11,2021,아파트,중개거래
11650,서초구,10600,잠원동,0157,0000,동아,20241216,240000,59.92,7,2002,아파트,중개거래
11650,서초구,10300,우면동,0070,0000,코오롱,20241215,114000,52.47,4,1994,아파트,중개거래
11650,서초구,11100,신원동,0568,0000,서초포레스타3단지,20241215,120000,59.96,2,2014,아파트,중개거래
11650,서초구,10100,방배동,0770,0001,삼호1동~3동,20241215,208000,116.13,10,1975,아파트,중개거래
11650,서초구,10600,잠원동,0162,0000,반포센트럴자이,20241214,465000,98.87,28,2020,아파트,중개거래
11650,서초구,10700,반포동,0060,0004,반포미도,20241214,290000,84.96,9,1987,아파트,중개거래
11650,서초구,10100,방배동,1026,0014,방배신동아럭스빌,20241214,260000,164.43,13,2003,아파트,중개거래
11650,서초구,10800,서초동,1301,0006,래미안서초스위트,20241214,269000,84.957,11,2009,아파트,중개거래
11650,서초구,10900,내곡동,0411,0000,서초더샵포레,20241214,149500,84.61,2,2014,아파트,중개거래
