기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,11740560,고덕2동,CS300002,편의점,1507558252,152374,1070121093,437437159,202597549,216538440,218722328,203940798,228321978,232605823,204831336,88620823,150660643,219813840,283122748,498978383,266361815,752458483,755099769,25514071,302255563,393797300,329248652,289145951,167596715,108008,44366,21253,21698,21178,20689,23190,23360,21006,12938,21764,20888,24717,43472,28595,91736,60638,3985,31722,38587,30101,29626,18353
20222,11740570,암사1동,CS300002,편의점,2009517327,291176,1387691563,621825764,274775214,264093778,284089111,263999307,300734153,323074441,298751323,233083420,292025034,215238939,261306798,556448370,451414766,1353145137,646160414,20333799,325139339,615084156,466767441,368537570,203443245,202002,89174,39718,39647,40184,40042,42411,45421,43753,32513,47048,33383,39742,77491,60999,194107,96099,5168,57156,88549,62609,49510,27216
20222,11740580,암사2동,CS300002,편의점,1119682035,175030,814748905,304933130,159801792,169571344,160671504,159640157,165064108,162413011,142520119,122704711,196918086,136915487,148962968,287631324,226549459,731710959,387971076,15174587,197762069,348188149,260220623,172627939,125708668,128242,46788,25421,25962,24231,25868,26760,25217,21571,16816,32909,21735,24257,46079,33234,112786,62244,4551,38796,55006,35837,22933,17907
20222,11740590,암사3동,CS300002,편의점,146226758,23235,96372805,49853953,17272618,21076333,19560810,19447966,19015078,25508309,24345644,14103577,23715215,17190255,20679589,41725942,28812180,99338391,46888367,3515118,26960275,38531053,33543590,23859200,19817522,15766,7469,3007,3306,3123,3040,3290,3597,3872,2299,4073,3190,3440,6045,4188,15310,7925,1017,5481,5539,4415,3569,3214
20222,11740600,천호1동,CS300002,편의점,2098567489,303834,1468334145,630233344,288100117,293519263,289542320,282335528,314836917,321080720,309152624,247309122,342843052,213484603,267217347,589773655,437939710,1379765402,717857580,27802028,368539111,584042352,517944665,397638961,201655864,214495,89339,42016,42757,43238,41500,44984,45910,43429,34070,52939,34588,40652,80385,61200,195201,108565,6769,63995,84167,66410,53700,28725
20222,11740610,천호2동,CS300002,편의점,4221177494,582910,2736237636,1484939858,525394276,520266907,535827204,531644261,623104988,808485975,676453883,576189145,465985365,451670470,567538858,1170247986,989545670,2546802951,1667687209,55595483,1070375936,1372081517,847522233,525725889,343189102,388246,194664,76054,74748,76205,75753,85486,105333,89331,71227,84573,71262,81273,153088,121487,361762,220650,11352,159613,180734,108728,72528,49457
20222,11740620,천호3동,CS300002,편의점,2106727319,307007,1424343986,682383333,269198932,278625492,289848757,269426942,317243863,367163762,315219571,383373785,254108379,191614890,218397455,523974375,535258435,1418581967,684780224,26660827,636386439,615936848,389522176,258335147,176520755,207095,99912,39678,41128,41277,40220,44792,52937,46975,49797,41059,31466,33945,76479,74261,203242,103433,5890,103216,87283,49013,35032,26241
20222,11740640,성내1동,CS300002,편의점,2070216640,274421,1506088616,564128024,289854014,298753436,324856194,276195059,316429913,294374820,269753204,148769035,275840368,309429485,323501336,620792538,391883878,1215353678,817824301,15339272,399536945,617726029,494078483,339810210,166687039,202305,72116,40507,41309,40721,38193,41575,37925,34191,21310,47445,43357,43596,70696,48017,168754,101872,3473,58445,82028,63415,42590,20676
20222,11740650,성내2동,CS300002,편의점,4486542812,768750,3117379019,1369163793,572913087,602159383,639660789,614932801,687712959,736747502,632416291,582871522,657856700,457058547,551307043,1214043307,1023405693,2984512299,1502030513,40417837,1153567012,1333394786,916385963,682010414,360766800,534704,234046,99069,106163,109164,105164,115144,126516,107530,82750,129648,92464,104789,202419,156680,499031,269719,12803,222417,223379,141600,110083,58468
20222,11740700,둔촌2동,CS300002,편의점,1681101213,254710,1198276582,482824631,239896245,234067232,234236537,234680490,255396078,256365010,226459621,188706124,252665676,190471118,213974909,435357838,399925548,1242078669,424468825,23977667,289018606,437158400,449787719,273984046,192621056,182637,72073,35183,36939,36132,36150,38233,38090,33983,26192,44924,33680,34525,61920,53469,177735,76060,6864,49826,62789,64180,42643,27492
20222,11740685,길동,CS300002,편의점,5948456386,889331,4157133401,1791322985,801196090,833770958,820939043,821218354,880008956,946479413,844843572,841335100,870691356,649862065,714545123,1564742863,1307279879,4066261853,1844438897,43096170,1285159112,1649575627,1344967176,1040042301,547860364,627171,262160,121937,126241,124963,123384,130646,137730,124430,112548,146013,109785,111162,227573,182250,600403,285760,11038,227185,246968,178712,146317,75944
20222,11740660,성내3동,CS300002,편의점,3354557190,476158,2380453457,974103733,462064821,484083698,463144948,451757486,519402504,511550581,462553152,332381553,519444454,452052295,481152875,933333471,636192542,2116987257,1233566211,56602420,624359568,868069334,805616805,672803298,323102044,341144,135014,66641,67981,67056,66392,73074,71892,63122,45115,86449,66892,69549,124021,84132,305557,170304,14262,101853,126250,103059,86085,44351
20223,11740700,둔촌2동,CS300002,편의점,2127344810,322074,1512476636,614868174,284249450,283887987,292069301,309326985,342942913,321548687,293319487,250224495,318173126,254443879,262787520,550314478,491401312,1525021268,602323542,26663891,376814506,561773904,518733750,381553023,261805736,232887,89187,43390,43545,46484,47657,51811,46645,42542,33900,55775,42636,44625,78543,66595,223186,98888,7754,62778,84464,73593,57814,35671
20223,11110515,청운효자동,CS300002,편의점,1505938298,238299,1085979847,419958451,206949119,216010345,203978630,213457215,245584538,209242401,210716050,105735614,324376774,227708981,229764389,381770519,236582021,900965344,523904168,17656777,242690125,407253560,354797053,246872916,155599082,170941,67358,32784,32028,32412,33613,40104,32852,34506,14886,54971,41823,41708,53527,31384,141893,89001,5367,47915,67160,54113,35745,20592
20223,11110530,사직동,CS300002,편의점,4960955920,949892,3852897804,1108058116,709625462,732881391,771087609,788824857,850478485,600478257,507579859,241239144,1262995235,821838721,763914667,1175545417,695422736,3119863688,1764027464,50903948,981494770,1464759380,1170692484,833987733,382052834,740706,209186,134233,143258,149622,150464,163129,112744,96442,35018,276194,174395,155438,203869,104978,563182,380141,16374,231774,285593,204992,139594,64995
20223,11110540,삼청동,CS300002,편의점,1468413086,197549,1018423984,449989102,176953095,192800481,208672070,191997193,248001145,242755046,207234056,16481933,202642899,313835099,366802121,454171272,114479762,563237190,853773716,19535986,432965403,406638502,248196356,214442596,95232064,131892,65657,23508,24127,25538,26253,32466,34280,31377,1575,32249,47255,52594,52421,11455,91211,101272,4339,54894,56430,35961,28559,12302
20223,11110550,부암동,CS300002,편의점,687212290,99485,463876328,223335962,87723049,84559048,90459553,88896278,112238400,114932858,108403104,62643300,99550940,97388613,111218834,190167057,126243546,414553907,253198407,12333934,94130472,158545101,150459494,185925097,66358216,67815,31670,13239,12404,13528,13170,15474,16740,14930,7964,16652,15522,17526,25096,16725,58058,39246,2928,16340,23493,22201,23680,8661
20223,11110560,평창동,CS300002,편의점,715552109,91663,505480827,210071282,90462196,77737288,133235526,93289557,110756260,106443597,103627685,47989560,158109539,111401738,97797795,185046796,115206681,447082258,204864741,7822871,93579710,125736210,181267266,158107043,85433897,62146,29517,12161,11138,11972,12507,14368,14932,14585,5972,18568,15971,15400,22129,13623,59974,29877,2172,15663,16062,21899,20820,13235
20223,11110570,무악동,CS300002,편의점,1074036354,175368,749498752,324537602,130334588,135241132,157642293,146707087,179573652,164689951,159847651,71043912,205390581,182382238,158133177,296475782,160610664,713175799,341357264,9587270,137560006,204781323,237630261,276074880,188899323,121042,54326,22074,22666,24875,24314,27113,27508,26818,11728,38315,29551,25962,45729,24083,110712,63009,2263,30338,38280,38384,38884,25571
20223,11110580,교남동,CS300002,편의점,1014459299,154441,805506606,208952693,144127228,151898155,186556079,156393496,166531648,112546240,96406453,73768732,249042266,140443206,152624007,237116294,161464794,675494523,273104026,8652013,122345524,311004006,265548364,181167798,59880846,124913,29528,23713,24885,24645,25290,26380,15694,13834,9462,39279,24133,26611,33581,21375,108026,43015,2181,23497,50738,38926,26924,8774
20223,11110600,가회동,CS300002,편의점,834194377,136994,633901829,200292548,111948332,127301620,122343370,123849081,148459426,109651956,90640592,43891085,215828789,146900062,157828216,172422909,97323316,516820694,246228306,8967961,116563023,230566102,196073397,121765623,89112897,106899,30095,18690,20848,21045,21942,24374,16040,14055,6119,39482,24884,26517,26561,13431,88571,44042,3370,23577,42782,32428,17860,12597
20223,11110615,종로1·2·3·4가동,CS300002,편의점,11859473932,2011941,8641957399,3217516533,1558103167,1559179405,1753748420,1724890914,2046035493,1854251144,1363265389,1207887826,1970148986,1637293840,1722935322,3014753880,2306454078,7738473424,3602563857,105121399,3012018673,3203830074,2385072964,1792087291,842906886,1489971,521970,269366,276512,294130,303399,346564,296907,225063,171614,406025,324133,313026,481649,315494,1291462,679249,23418,571941,552998,384853,293494,144005
20223,11110630,종로5·6가동,CS300002,편의점,3653907399,590504,2937837271,716070128,525162253,591027673,565083594,570906311,685657440,424105385,291964743,289695570,828763132,578234823,547427271,890082976,519703627,2477194340,1006277320,34968621,710094805,918989670,804842684,708241018,306334864,479331,111173,85876,94826,95060,96746,106823,62857,48316,35610,148933,107250,91600,134655,72456,386439,190152,10048,141807,158038,119884,99168,47643
20223,11110640,이화동,CS300002,편의점,4956316222,833411,3787321428,1168994794,690843131,724831962,776425943,771619496,823600896,648168078,520826716,318327189,878878747,897093390,753583270,1305762451,802671175,2811788592,2098740603,45585923,1360062730,1584779430,943975379,749038770,227086967,634419,198992,115894,120773,133108,128848,135796,106612,92380,43551,171320,156401,133602,209398,119139,452517,377522,14319,257704,256160,144949,117120,39787
20223,11110650,혜화동,CS300002,편의점,2567672412,321980,1813983163,753689249,309491370,351004590,346809967,393786141,412891095,405961894,347727355,195418655,228255753,359981778,446154278,853311761,484550187,1206533151,1359124070,88914075,1078004217,522669564,371523452,384905702,119640211,229976,92004,41536,44503,45366,47360,51211,49060,42944,28901,44055,47398,52745,93370,55511,180442,141267,14755,131842,66382,48476,45029,15226
20223,11110670,창신1동,CS300002,편의점,2068591164,247442,1514356895,554234269,270984466,273200344,312290832,297692113,360189140,295168758,259065511,221035028,254618386,335050669,319221745,595267224,343398112,1093044107,975547057,24152505,562528522,591871969,371020951,308619993,210397224,175630,71812,32184,32562,33948,35505,41431,37546,34266,31682,40115,40564,34682,58158,42241,159119,88323,3645,59275,71012,45518,37370,30622
