기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00~06_유동인구_수,시간대_06~11_유동인구_수,시간대_11~14_유동인구_수,시간대_14~17_유동인구_수,시간대_17~21_유동인구_수,시간대_21~24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20243,11230600,답십리1동,6906589.0,3157884.0,3748705.0,1140354.0,870833.0,1159438.0,1227521.0,1006328.0,1502115.0,1866360.0,1446629.0,790130.0,781238.0,1117741.0,904491.0,977119.0,975401.0,987423.0,982682.0,985116.0,999379.0,999466.0
20243,11230610,답십리2동,5686789.0,2672342.0,3014447.0,760982.0,636224.0,917910.0,970237.0,924547.0,1476888.0,1534042.0,1124398.0,642662.0,667787.0,964846.0,753055.0,800561.0,799613.0,802442.0,797644.0,795762.0,839632.0,851133.0
20243,11230650,장안1동,9154094.0,4476734.0,4677360.0,1077912.0,1230374.0,1685414.0,1718050.0,1396971.0,2045374.0,2393359.0,1898052.0,1103312.0,1090107.0,1489885.0,1179379.0,1312385.0,1307555.0,1319358.0,1319538.0,1313763.0,1284998.0,1296497.0
20243,11230660,장안2동,7359660.0,3453200.0,3906460.0,1419609.0,864571.0,1102754.0,1314485.0,1111692.0,1546548.0,1940875.0,1477261.0,848436.0,859746.0,1266867.0,966474.0,1036433.0,1037905.0,1042128.0,1045185.0,1042249.0,1075171.0,1080589.0
20243,11230705,청량리동,6307812.0,2940900.0,3366913.0,587317.0,932928.0,836278.0,866435.0,1003297.0,2081558.0,1590544.0,1301412.0,802109.0,802183.0,1037887.0,773678.0,883400.0,884336.0,887378.0,889670.0,889395.0,927996.0,945636.0
20243,11230710,회기동,4481314.0,1968950.0,2512363.0,614027.0,1743430.0,549738.0,472202.0,417895.0,684022.0,1102854.0,939746.0,578933.0,544362.0,742523.0,572896.0,642676.0,650965.0,655508.0,659926.0,656221.0,617382.0,598637.0
20243,11230720,휘경1동,5698325.0,2590177.0,3108148.0,638322.0,1736090.0,810158.0,668976.0,723733.0,1121046.0,1503518.0,1247516.0,645130.0,636905.0,925671.0,739585.0,804483.0,805098.0,812017.0,815056.0,810758.0,825434.0,825479.0
20243,11230730,휘경2동,4248164.0,2008373.0,2239790.0,582442.0,1265347.0,557246.0,514255.0,518461.0,810411.0,1244557.0,925350.0,455029.0,438001.0,621994.0,563235.0,604586.0,601080.0,605188.0,608944.0,599245.0,604267.0,624853.0
20243,11230740,이문1동,8327026.0,3989951.0,4337075.0,972559.0,3096972.0,956279.0,933608.0,980192.0,1387418.0,2244477.0,1810303.0,995432.0,946729.0,1267764.0,1062321.0,1190449.0,1190870.0,1191769.0,1211045.0,1196114.0,1174216.0,1172562.0
20243,11230750,이문2동,3665996.0,1751537.0,1914458.0,562395.0,559590.0,417972.0,619935.0,574947.0,931155.0,1087832.0,773603.0,373722.0,370140.0,557894.0,502805.0,519746.0,518232.0,518613.0,516105.0,513927.0,534968.0,544403.0
20243,11260520,면목2동,5401048.0,2593636.0,2807412.0,771889.0,653446.0,781414.0,829176.0,960782.0,1404340.0,1557908.0,1110854.0,588092.0,582659.0,840559.0,720976.0,762477.0,761671.0,761567.0,759355.0,756565.0,788651.0,810763.0
20243,11260540,면목4동,4719874.0,2256275.0,2463599.0,666648.0,566218.0,696939.0,762150.0,772557.0,1255364.0,1333022.0,964138.0,509813.0,514763.0,750457.0,647683.0,669826.0,667024.0,667063.0,662564.0,661334.0,686891.0,705175.0
20243,11260550,면목5동,2413701.0,1149250.0,1264451.0,337541.0,255542.0,385631.0,384528.0,422308.0,628150.0,686938.0,499318.0,258621.0,259843.0,386410.0,322571.0,337174.0,336814.0,337649.0,339098.0,335292.0,357647.0,370029.0
20243,11260565,면목본동,9608441.0,4460007.0,5148434.0,1025644.0,1389503.0,1629396.0,1391262.0,1705637.0,2466997.0,2842159.0,1960713.0,995792.0,994279.0,1502985.0,1312511.0,1357505.0,1347026.0,1352237.0,1350945.0,1343625.0,1414179.0,1442923.0
20243,11260570,면목7동,6104342.0,2880705.0,3223636.0,761170.0,746748.0,933357.0,914905.0,1030994.0,1717167.0,1724714.0,1236888.0,649587.0,664896.0,998361.0,829896.0,860301.0,857358.0,855828.0,854882.0,847627.0,899771.0,928575.0
