기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20223,A,골목상권,3110636,방화역 2번,489653651.0,61128.0,368955770.0,120697881.0
20223,D,발달상권,3120185,논현역,2657708932.0,452880.0,2122803809.0,534905123.0
20223,D,발달상권,3120236,장지역(가든파이브),2121457756.0,249742.0,1694940416.0,426517340.0
20223,D,발달상권,3120004,종로구청,941918238.0,167574.0,780344462.0,161573776.0
20223,A,골목상권,3110369,성신여대운정그린캠퍼스,718925650.0,100743.0,507042738.0,211882912.0
20223,A,골목상권,3110955,논현초등학교,719357276.0,84011.0,517334872.0,202022404.0
20223,A,골목상권,3110835,상도역 1번,83638257.0,13536.0,60426061.0,23212196.0
20223,A,골목상권,3110527,홍제역 2번,570921666.0,91350.0,415466564.0,155455102.0
20223,R,전통시장,3130261,성대전통시장(성대시장),450226514.0,67186.0,320910870.0,129315644.0
20223,A,골목상권,3110041,남산케이블카,174748827.0,30102.0,134668174.0,40080653.0
20223,A,골목상권,3110144,어린이대공원역 4번,160818268.0,25604.0,108700255.0,52118013.0
20223,A,골목상권,3110346,4.19민주묘지역 2번,473452223.0,62483.0,329597272.0,143854951.0
20223,A,골목상권,3110342,국립재활원,170973378.0,22026.0,121746031.0,49227347.0
20223,D,발달상권,3120211,도성초등학교,379804501.0,81159.0,270017069.0,109787432.0
20223,A,골목상권,3111003,삼전역 4번,1344451413.0,197031.0,953429980.0,391021433.0
20223,A,골목상권,3110399,창2동주민센터,1283614884.0,178781.0,881569057.0,402045827.0
20223,A,골목상권,3110568,광흥창역 1번,1264823777.0,193722.0,897650526.0,367173251.0
20223,A,골목상권,3110879,신림현대아파트,595046184.0,89944.0,421785404.0,173260780.0
20223,A,골목상권,3111085,묘곡초등학교(고덕아이파크아파트),1057907379.0,160647.0,762995647.0,294911732.0
20223,A,골목상권,3111087,고덕중학교(고덕2동주민센터),185176393.0,28719.0,127665286.0,57511107.0
20223,A,골목상권,3110429,공릉동 국수거리,1046623447.0,149088.0,758885794.0,287737653.0
20223,A,골목상권,3110074,서울역 12번,386638977.0,43287.0,298003467.0,88635510.0
20223,A,골목상권,3110554,망원역 1번,637192132.0,97003.0,465167062.0,172025070.0
20223,D,발달상권,3120128,신도림역,918523341.0,91540.0,657768178.0,260755163.0
20223,A,골목상권,3110864,신림우방아파트,1221330759.0,189269.0,858057808.0,363272951.0
20223,A,골목상권,3110557,홍대부속여중고앞,666000470.0,100894.0,509459145.0,156541325.0
20223,D,발달상권,3120099,월드컵경기장역(월드컵경기장),231000000.0,11710.0,146412052.0,84587948.0
20223,A,골목상권,3110626,양화초등학교,106800538.0,16584.0,76440677.0,30359861.0
20223,A,골목상권,3110743,시흥초등학교(시흥1동우체국),446043766.0,63710.0,317399642.0,128644124.0
20223,A,골목상권,3110750,시흥4동주민센터(서울신흥초등학교),175896726.0,22961.0,124170358.0,51726368.0
20223,A,골목상권,3110753,시흥동 은행나무사거리,1740819358.0,251458.0,1233646435.0,507172923.0
20223,D,발달상권,3120176,논현역 4번,351918991.0,67327.0,275409469.0,76509522.0
20223,D,발달상권,3120047,한남오거리,976846740.0,128231.0,705634759.0,271211981.0
20223,D,발달상권,3120048,금호역,538855630.0,74619.0,384186627.0,154669003.0
20223,A,골목상권,3110465,연신내역 7번,540012903.0,94077.0,391905304.0,148107599.0
20223,A,골목상권,3110620,목동보건지소,186784557.0,25674.0,133021618.0,53762939.0
20223,A,골목상권,3110458,선일여고,51003778.0,8374.0,36422717.0,14581061.0
20223,A,골목상권,3110794,영동초등학교,417806160.0,60220.0,295063312.0,122742848.0
20223,A,골목상권,3110246,월드순복음교회,189418378.0,27203.0,126962677.0,62455701.0
20223,A,골목상권,3110262,상봉역 3번,1361720227.0,179165.0,907947067.0,453773160.0
20223,A,골목상권,3110593,신월3동주민센터,1116506730.0,139377.0,808632690.0,307874040.0
20224,A,골목상권,3110058,성심여자고등학교,409351051.0,56593.0,279933010.0,129418041.0
20224,A,골목상권,3110369,성신여대운정그린캠퍼스,679493920.0,100200.0,476064512.0,203429408.0
20224,A,골목상권,3111032,방이역 1번,298532228.0,52050.0,211332718.0,87199510.0
20224,D,발달상권,3120227,잠실역,1780938470.0,318693.0,1298905175.0,482033295.0
20224,A,골목상권,3110711,구로초등학교,165000000.0,17456.0,112430360.0,52569640.0
20224,D,발달상권,3120007,북촌(안국역),1161220309.0,122094.0,846315035.0,314905274.0
20224,A,골목상권,3110012,성곡미술관,141013366.0,23849.0,114034257.0,26979109.0
20224,D,발달상권,3120101,합정역,3373009797.0,527973.0,2488292751.0,884717046.0
20224,D,발달상권,3120066,장한평역(장한평),4307191578.0,588963.0,3216011883.0,1091179695.0
20224,A,골목상권,3110229,장평중학교,605222619.0,76618.0,408635047.0,196587572.0
20224,D,발달상권,3120091,본서부병원,2906380917.0,155506.0,2013488284.0,892892633.0
20224,D,발달상권,3120127,구로구청,1553677099.0,231359.0,1087161065.0,466516034.0
20224,D,발달상권,3120011,종로4가,1092561004.0,184234.0,824653973.0,267907031.0
20224,A,골목상권,3110372,강북중학교,280996144.0,39318.0,196406069.0,84590075.0
20224,A,골목상권,3110939,양재역 8번(양재동우체국),969992412.0,142024.0,748582760.0,221409652.0
20224,D,발달상권,3120199,경복아파트교차로,2907588072.0,407554.0,2338681059.0,568907013.0
20224,A,골목상권,3111076,둔촌2동주민센터,353948873.0,51930.0,255266087.0,98682786.0
20224,A,골목상권,3111074,명일역 1번,485606793.0,73134.0,327931335.0,157675458.0
20224,D,발달상권,3120249,고덕역,1433439843.0,185570.0,1011199474.0,422240369.0
20224,A,골목상권,3110237,메가박스 상봉,221635285.0,30089.0,154519682.0,67115603.0
20224,A,골목상권,3110388,도봉우체국,121022102.0,16897.0,84362492.0,36659610.0
20224,D,발달상권,3120097,충정로역,334228828.0,55517.0,272968114.0,61260714.0
20224,A,골목상권,3110738,문성초등학교,90985225.0,11745.0,68546360.0,22438865.0
20224,D,발달상권,3120134,구로전화국,905039984.0,115788.0,602261614.0,302778370.0
20224,A,골목상권,3111067,강동구립성내도서관,435797831.0,61059.0,309584137.0,126213694.0
20224,A,골목상권,3110112,행당역 2번,281385417.0,41331.0,185317936.0,96067481.0
20224,A,골목상권,3110643,강서구다솔마을,144785537.0,17892.0,108986833.0,35798704.0
20224,D,발달상권,3120234,가락시장역,3765735014.0,459613.0,2825609370.0,940125644.0
20224,D,발달상권,3120031,을지로3가역,6348756253.0,1135485.0,5221502889.0,1127253364.0
20224,A,골목상권,3110246,월드순복음교회,177930500.0,22503.0,122007796.0,55922704.0
20224,D,발달상권,3120072,성신여대,1049659472.0,187076.0,720403772.0,329255700.0
20224,A,골목상권,3110303,성신여대입구역 1번,390157352.0,60654.0,276403275.0,113754077.0
20224,A,골목상권,3110961,언주역 3번,382381220.0,58436.0,291463586.0,90917634.0
20224,A,골목상권,3110156,군자역 5번,439415046.0,60506.0,335615457.0,103799589.0
20224,A,골목상권,3110992,도곡초등학교,950018453.0,182410.0,645700675.0,304317778.0
20224,D,발달상권,3120121,까치산역,1592137582.0,207913.0,1030546800.0,561590782.0
20224,A,골목상권,3111014,송파나루역 2번,312884406.0,42135.0,199366145.0,113518261.0
20224,A,골목상권,3110176,해오름공원,202719340.0,27937.0,137195277.0,65524063.0
20224,D,발달상권,3120074,안암역,260691299.0,47994.0,183953202.0,76738097.0
20224,A,골목상권,3110670,신곡초등학교,522813760.0,64613.0,353785844.0,169027916.0
20224,D,발달상권,3120176,논현역 4번,321507864.0,57726.0,237119660.0,84388204.0
20224,A,골목상권,3111005,삼전역 3번,234071360.0,31051.0,163160152.0,70911208.0
20224,A,골목상권,3110074,서울역 12번,359100552.0,39339.0,276345362.0,82755190.0
20224,R,전통시장,3130117,정릉시장,335152889.0,47314.0,220747904.0,114404985.0
20224,A,골목상권,3110551,성서초등학교,316118521.0,45224.0,222225966.0,93892555.0
20224,A,골목상권,3110924,반포4동주민센터(몽마르뜨공원),139160383.0,17521.0,104372611.0,34787772.0
20224,A,골목상권,3111015,석촌역 3번,518820987.0,75343.0,366255478.0,152565509.0
20232,A,골목상권,3111056,천호태영아파트,148241925.0,20136.0,102482260.0,45759665.0
20224,A,골목상권,3110181,신설동역 9번,280436701.0,45355.0,206835264.0,73601437.0
20224,A,골목상권,3110472,연신내역 4번,193592809.0,27808.0,132736484.0,60856325.0
20224,A,골목상권,3110717,남구로역 2번,947812648.0,118770.0,662074052.0,285738596.0
20224,A,골목상권,3110929,남부터미널역 1번,141057218.0,18772.0,103694715.0,37362503.0
20224,D,발달상권,3120178,신사역,5764040269.0,896839.0,4059963325.0,1704076944.0
20224,D,발달상권,3120225,잠실새내역(신천),5086516822.0,770916.0,3605530158.0,1480986664.0
20224,A,골목상권,3110085,경리단길남측,1319450970.0,161533.0,874905575.0,444545395.0
20224,A,골목상권,3110214,경희대후문,1329768780.0,281235.0,976755410.0,353013370.0
20224,A,골목상권,3110224,외대앞역 2번,209745070.0,34779.0,150096661.0,59648409.0
20224,D,발달상권,3120171,서초3동사거리,2785718793.0,439043.0,2066797700.0,718921093.0
20224,A,골목상권,3110079,후암동주민센터,785786787.0,108662.0,509501670.0,276285117.0
20224,D,발달상권,3120202,압구정로데오역(압구정로데오),1716929234.0,268955.0,1151114701.0,565814533.0
20224,R,전통시장,3130311,새마을시장,338402992.0,47583.0,228721667.0,109681325.0
20224,R,전통시장,3130002,세종마을음식문화거리(금천교시장),1096338486.0,205455.0,736931649.0,359406837.0
