행정동_코드_명,기준_년분기_코드,당월_매출_금액,매출(억원)
노량진1동,20241,7465737572.0,74.7
회현동,20251,7428471439.0,74.3
청룡동,20241,7418436686.0,74.2
장안1동,20241,7408675370.0,74.1
화양동,20253,7406351208.0,74.1
신촌동,20244,7398439966.0,74.0
삼성2동,20231,7398105778.0,74.0
오류1동,20233,7397737392.0,74.0
회현동,20241,7394248631.0,73.9
역삼2동,20251,7390444601.0,73.9
삼성2동,20253,7371554404.0,73.7
대치2동,20223,7347215629.0,73.5
삼성2동,20234,7336998680.0,73.4
서초2동,20243,7333160148.0,73.3
일원본동,20233,7332764217.0,73.3
소공동,20253,7330739547.0,73.3
청룡동,20221,7328564678.0,73.3
삼성2동,20242,7319063730.0,73.2
삼성2동,20244,7310266929.0,73.1
일원본동,20223,7282635408.0,72.8
잠실본동,20231,7271299358.0,72.7
자양4동,20242,7269244781.0,72.7
대치2동,20233,7266947223.0,72.7
청룡동,20231,7259814686.0,72.6
화양동,20251,7258692336.0,72.6
이태원1동,20221,7254474850.0,72.5
신사동,20233,7252364139.0,72.5
잠실본동,20241,7223814600.0,72.2
신사동,20223,7210726732.0,72.1
신촌동,20252,7207010082.0,72.1
오류1동,20232,7205872260.0,72.1
삼성2동,20221,7193651987.0,71.9
청룡동,20234,7189808225.0,71.9
자양4동,20232,7185704758.0,71.9
일원본동,20224,7183515761.0,71.8
신촌동,20221,7182274567.0,71.8
신림동,20234,7180017436.0,71.8
청룡동,20244,7162635389.0,71.6
소공동,20233,7156466740.0,71.6
오류1동,20223,7150660405.0,71.5
신림동,20242,7148539678.0,71.5
서초2동,20242,7140529627.0,71.4
소공동,20243,7139266352.0,71.4
회현동,20231,7123873044.0,71.2
서초2동,20234,7099069654.0,71.0
잠실본동,20252,7087967863.0,70.9
등촌1동,20223,7085925996.0,70.9
신촌동,20241,7077899037.0,70.8
오류1동,20222,7075120314.0,70.8
서초2동,20231,7059342425.0,70.6
신림동,20253,7058607080.0,70.6
자양3동,20232,7041226633.0,70.4
자양3동,20242,7031420821.0,70.3
장안1동,20251,7027727007.0,70.3
일원본동,20232,7021448104.0,70.2
대치2동,20222,7004939829.0,70.0
일원본동,20231,6987203557.0,69.9
일원본동,20253,6982828107.0,69.8
오류1동,20234,6972547371.0,69.7
잠실본동,20244,6969306257.0,69.7
삼성2동,20252,6969160452.0,69.7
용신동,20222,6958833988.0,69.6
등촌1동,20234,6955042047.0,69.6
삼성2동,20241,6951863716.0,69.5
신림동,20241,6950738093.0,69.5
등촌1동,20224,6944733756.0,69.4
신림동,20243,6936924442.0,69.4
사근동,20252,6923502610.0,69.2
등촌1동,20242,6903082825.0,69.0
등촌1동,20231,6900521530.0,69.0
소공동,20234,6895093311.0,69.0
등촌1동,20232,6892046429.0,68.9
소공동,20244,6871232152.0,68.7
오류1동,20253,6843749788.0,68.4
서초2동,20244,6829963397.0,68.3
용신동,20223,6814334535.0,68.1
오류1동,20224,6811151834.0,68.1
청룡동,20253,6792406680.0,67.9
대치2동,20224,6786229565.0,67.9
회현동,20222,6770699835.0,67.7
등촌1동,20243,6770016542.0,67.7
대치2동,20232,6762633249.0,67.6
일원본동,20222,6742969115.0,67.4
노량진1동,20242,6733275473.0,67.3
수서동,20221,6722268682.0,67.2
청룡동,20252,6715718492.0,67.2
대치2동,20243,6702828950.0,67.0
등촌1동,20241,6665244036.0,66.7
