기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20241,11230660,장안2동,CS300002,편의점,3485640173.0,460903.0,2437278153.0,1048362020.0,449720088.0,469722112.0,490420738.0,475597947.0,551817268.0,561135787.0,487226233.0,466802521.0,450743690.0,375716567.0,447158944.0,961211108.0,784007343.0,2250131643.0,1204179866.0,31032738.0,424960333.0,973305511.0,941308555.0,788621568.0,295082806.0,325636.0,135267.0,60852.0,64923.0,65701.0,64836.0,69324.0,72266.0,63001.0,54878.0,66098.0,56069.0,64985.0,124203.0,94670.0,299564.0,160072.0,8624.0,71292.0,132464.0,111859.0,94875.0,40524.0
20241,11230730,휘경2동,CS300002,편의점,1457920774.0,207253.0,1041644700.0,416276074.0,209841843.0,212676611.0,212342225.0,205526029.0,201257992.0,207480584.0,208795490.0,150917211.0,143130433.0,176089186.0,214109053.0,467980694.0,305694197.0,776338356.0,681582418.0,13848734.0,587008506.0,354243777.0,184726118.0,226822801.0,91270838.0,152062.0,55191.0,29932.0,31062.0,31439.0,30386.0,29243.0,27788.0,27403.0,23497.0,28010.0,27393.0,28023.0,59253.0,41077.0,119849.0,87404.0,2655.0,93189.0,48467.0,19869.0,30094.0,12979.0
20241,11260520,면목2동,CS300002,편의점,588073824.0,66786.0,411344123.0,176729701.0,77665993.0,87565207.0,80391983.0,83070775.0,82650165.0,98345058.0,78384643.0,70192851.0,105084036.0,63061939.0,73667040.0,164141384.0,111926574.0,395152335.0,192921489.0,2675090.0,53590211.0,136093225.0,115811983.0,136493808.0,143409507.0,46711.0,20075.0,9269.0,9292.0,9375.0,9383.0,9392.0,10771.0,9304.0,8087.0,12440.0,7607.0,8367.0,18711.0,11574.0,44873.0,21913.0,669.0,8830.0,18291.0,13421.0,14318.0,11257.0
20241,11260590,상봉2동,CS300002,편의점,4671573531.0,509974.0,3190300880.0,1481272651.0,620845373.0,593728820.0,630658711.0,652199179.0,692868797.0,794927952.0,686344699.0,566958549.0,448989271.0,505948554.0,669404402.0,1547607272.0,932665483.0,2495324205.0,2169190912.0,51180450.0,1100875362.0,1525155541.0,801894048.0,756954909.0,428454809.0,350207.0,159767.0,68444.0,67193.0,69805.0,69666.0,75099.0,85423.0,74344.0,70150.0,64046.0,54459.0,65334.0,152729.0,103256.0,315264.0,194504.0,6658.0,116764.0,169427.0,84139.0,81062.0,51718.0
20241,11290610,보문동,CS300002,편의점,1023647276.0,142655.0,733148298.0,290498978.0,141765174.0,139092023.0,147778347.0,146094767.0,158417987.0,150384339.0,140114639.0,138349850.0,150874618.0,132723498.0,130240219.0,282369696.0,189089395.0,645390921.0,378256355.0,12390257.0,174629292.0,295800868.0,234184500.0,209702348.0,96940011.0,103366.0,39289.0,20841.0,20001.0,20739.0,20580.0,21205.0,19817.0,19472.0,15652.0,24938.0,19224.0,19444.0,38653.0,24744.0,86456.0,56199.0,3212.0,30026.0,37667.0,30730.0,28477.0,12543.0
20241,11290650,정릉4동,CS300002,편의점,1499645901.0,201906.0,1057944276.0,441701625.0,202980706.0,218251588.0,202216174.0,209616009.0,224879799.0,218753976.0,222947649.0,161028906.0,214433475.0,183835397.0,211964204.0,451089303.0,277294616.0,1030034869.0,469611032.0,17031278.0,235131616.0,302334104.0,351162076.0,378020958.0,215965869.0,142375.0,59531.0,28423.0,28611.0,27518.0,27882.0,29941.0,30166.0,29365.0,21249.0,32340.0,24312.0,29962.0,57012.0,37031.0,134697.0,67209.0,3751.0,40226.0,43733.0,43877.0,44747.0,25572.0
20241,11305535,미아동,CS300002,편의점,1521863126.0,239915.0,1104319452.0,417543674.0,211885481.0,211928491.0,226459231.0,218419874.0,235626375.0,225483634.0,192060040.0,199109167.0,238508516.0,193657059.0,189593646.0,410744921.0,290249817.0,968385795.0,551150831.0,32005314.0,299669556.0,422011691.0,319126528.0,277980590.0,168742948.0,176758.0,63157.0,33398.0,36142.0,36102.0,35801.0,35315.0,34404.0,28753.0,25787.0,45433.0,32980.0,32613.0,61995.0,41107.0,152276.0,87498.0,10809.0,53999.0,65745.0,45886.0,39621.0,23713.0
20241,11305545,송중동,CS300002,편의점,3971401089.0,399836.0,2730145904.0,1241255185.0,527314393.0,527436584.0,527046117.0,552683282.0,595665528.0,665228550.0,576026635.0,382224806.0,328979002.0,453482447.0,668995637.0,1371335239.0,766383958.0,2081849826.0,1889551263.0,47686081.0,842661855.0,981310542.0,831006727.0,891304567.0,377431317.0,277879.0,121957.0,54132.0,53429.0,54548.0,55086.0,60684.0,65529.0,56428.0,45952.0,47079.0,49318.0,60374.0,121545.0,75568.0,242853.0,156983.0,7371.0,81601.0,102142.0,82110.0,86031.0,40581.0
20241,11305625,수유2동,CS300002,편의점,2030067414.0,267576.0,1455171159.0,574896255.0,283757831.0,300905437.0,283465211.0,279772053.0,307270627.0,303666385.0,271229870.0,260756405.0,302660487.0,236907364.0,273222565.0,549011659.0,407508934.0,1340472332.0,686540542.0,11001393.0,294313179.0,556949937.0,459579324.0,429658472.0,275510569.0,191469.0,76107.0,37739.0,38403.0,37954.0,37221.0,40152.0,39668.0,36439.0,31443.0,42837.0,33459.0,36129.0,72033.0,51675.0,178507.0,88789.0,3133.0,46612.0,76086.0,58753.0,48970.0,33742.0
20241,11320521,도봉1동,CS300002,편의점,2999990531.0,419521.0,2039028677.0,960961854.0,412014477.0,389561273.0,403831711.0,395524739.0,438096477.0,491437528.0,469524326.0,341197742.0,511833510.0,384941395.0,433273737.0,825688837.0,503055310.0,2136631832.0,858538706.0,14783848.0,300673558.0,635178156.0,674211493.0,773171218.0,597152265.0,280700.0,138821.0,57162.0,53769.0,54699.0,55600.0,59470.0,70389.0,68432.0,48605.0,82479.0,59891.0,61995.0,104138.0,62413.0,298982.0,120289.0,3504.0,53137.0,93208.0,83328.0,100738.0,85356.0
20241,11320670,쌍문2동,CS300002,편의점,509082809.0,73815.0,361527363.0,147555446.0,70983594.0,77736703.0,70159093.0,71829366.0,70818607.0,76789044.0,70766402.0,66679008.0,74573658.0,61225191.0,65901029.0,150640686.0,90063237.0,333801881.0,175280928.0,3403975.0,88224269.0,134421120.0,103313917.0,110583201.0,69136327.0,52882.0,20933.0,10702.0,10381.0,10593.0,10740.0,10466.0,10969.0,9964.0,9474.0,12477.0,9705.0,10120.0,20190.0,11849.0,49955.0,23860.0,1011.0,13985.0,20211.0,14221.0,14882.0,9505.0
20241,11320681,쌍문4동,CS300002,편의점,59950688.0,15613.0,48909577.0,11041111.0,10094541.0,10448677.0,8152273.0,9639324.0,10574762.0,5943344.0,5097767.0,151974.0,16559458.0,11582475.0,8873445.0,17055141.0,5728195.0,39754116.0,20196572.0,11767129.0,7313150.0,6319718.0,17340930.0,11119730.0,6090031.0,12900.0,2713.0,2474.0,2774.0,2165.0,2686.0,2801.0,1493.0,1220.0,36.0,5001.0,2774.0,2217.0,4524.0,1061.0,9877.0,5736.0,4270.0,2054.0,1335.0,4056.0,2963.0,935.0
