상권구분_코드,상권구분_명,상권_코드,상권_명,행정동_코드,행정동_코드_명
A,골목상권,3110447,구산초등학교,11380560,구산동
A,골목상권,3110448,상신초등학교입구,11380632,신사2동
A,골목상권,3110409,창동역 2번,11320515,창5동
A,골목상권,3110410,방학역 2번,11320690,방학1동
A,골목상권,3110411,도봉역 3번,11320522,도봉2동
A,골목상권,3110412,창동중학교,11320514,창4동
A,골목상권,3110436,상계제일중학교,11350624,중계4동
A,골목상권,3110437,당고개역 2번,11350665,상계3·4동
A,골목상권,3110438,경춘선숲길 우측,11350600,공릉2동
A,골목상권,3110423,석계역 2번,11350560,월계1동
A,골목상권,3110472,연신내역 4번,11380570,대조동
A,골목상권,3110473,구산역 1번,11380570,대조동
A,골목상권,3110449,증산역 3번,11380640,증산동
A,골목상권,3110494,증산3교남측,11410710,북가좌1동
A,골목상권,3110495,북가좌2동주민센터,11410720,북가좌2동
A,골목상권,3110560,마포FM,11440710,연남동
A,골목상권,3110561,상수역 4번,11440655,서강동
A,골목상권,3111078,굽은다리역 4번,11740685,길동
A,골목상권,3110485,연신내우체국,11380530,불광2동
A,골목상권,3110486,은평구청,11380510,녹번동
A,골목상권,3110487,불광역 8번,11380520,불광1동
A,골목상권,3110521,홍제역 4번,11410620,홍제1동
A,골목상권,3110522,홍제역 3번,11410620,홍제1동
A,골목상권,3110523,홍제성원아파트,11410620,홍제1동
A,골목상권,3110524,연희세브란스병원,11410585,신촌동
A,골목상권,3110496,모래내우체국,11410720,북가좌2동
A,골목상권,3110546,양화대교북단,11440680,합정동
A,골목상권,3110547,KB국민은행 망원동지점,11440700,망원2동
A,골목상권,3110458,선일여고,11380552,갈현2동
A,골목상권,3110459,응암역 2번,11380631,신사1동
A,골목상권,3110460,구산역 4번,11380552,갈현2동
A,골목상권,3110536,돈의문센트레빌아파트입구,11410565,충현동
A,골목상권,3110537,충정로현대아파트,11410565,충현동
A,골목상권,3110538,충정로역 3번,11410565,충현동
A,골목상권,3110539,미근동,11410565,충현동
A,골목상권,3110525,홍은종합사회복지관,11410660,홍은1동
A,골목상권,3110569,홍대땡땡거리,11440655,서강동
A,골목상권,3110570,KB국민은행 서강지점,11440630,신수동
A,골목상권,3110548,마포구청역 4번,11440720,성산1동
A,골목상권,3110400,도봉구보건소,11320670,쌍문2동
A,골목상권,3110401,도봉구민회관,11320515,창5동
A,골목상권,3110414,장석교회,11350560,월계1동
A,골목상권,3110415,수락산역 4번,11350630,상계1동
A,골목상권,3110461,새절역 2번,11380600,응암3동
A,골목상권,3110588,한겨레신문사,11440565,공덕동
A,골목상권,3110589,애오개역 3번,11440565,공덕동
A,골목상권,3110571,신수동주민센터,11440630,신수동
A,골목상권,3110572,서강대역 1번,11440630,신수동
A,골목상권,3110424,상계초등학교,11350640,상계2동
A,골목상권,3110402,도봉구 정병원,11320690,방학1동
A,골목상권,3110403,방학1동주민센터,11320690,방학1동
A,골목상권,3110404,신창초등학교,11320513,창3동
A,골목상권,3110450,시립서북병원,11380560,구산동
A,골목상권,3111084,길동신동아아파트,11740685,길동
A,골목상권,3111085,묘곡초등학교(고덕아이파크아파트),11740550,고덕1동
A,골목상권,3111086,한영중고,11740540,명일2동
A,골목상권,3111087,고덕중학교(고덕2동주민센터),11740560,고덕2동
A,골목상권,3111088,고덕동성당,11740560,고덕2동
A,골목상권,3110439,당고개역 5번,11350665,상계3·4동
A,골목상권,3110440,상계3동4동주민센터,11350665,상계3·4동
A,골목상권,3110441,영신여고,11350619,중계본동
A,골목상권,3110442,화랑대철도공원,11350600,공릉2동
A,골목상권,3110425,계상초등학교,11350670,상계5동
A,골목상권,3110474,세명컴퓨터고등학교,11380530,불광2동
A,골목상권,3110451,증산역 4번,11380640,증산동
A,골목상권,3110497,가좌역 3번,11410690,남가좌1동
A,골목상권,3110509,연희대우아파트앞,11410585,신촌동
A,골목상권,3110510,홍연시장,11410615,연희동
A,골목상권,3110556,절두산순교성지,11440680,합정동
A,골목상권,3110488,우리은행응암동지점,11380580,응암1동
A,골목상권,3110489,불광역 3번,11380510,녹번동
A,골목상권,3110490,녹번동근린공원,11380510,녹번동
A,골목상권,3110475,백련산해모로아파트,11380580,응암1동
A,골목상권,3110476,역촌역 2번,11380570,대조동
A,골목상권,3110526,봉원사,11410585,신촌동
A,골목상권,3110498,증산역 1번,11410720,북가좌2동
A,골목상권,3110499,연가초등학교,11410720,북가좌2동
A,골목상권,3110500,남가좌동현대아파트,11410700,남가좌2동
A,골목상권,3110462,갈현건영아파트,11380551,갈현1동
A,골목상권,3110463,응암3동주민센터,11380600,응암3동
A,골목상권,3110464,연신내역 5번,11380552,갈현2동
A,골목상권,3110540,망원나들목체육관,11440690,망원1동
A,골목상권,3110541,동교초등학교,11440700,망원2동
A,골목상권,3110527,홍제역 2번,11410640,홍제3동
A,골목상권,3110528,서울여자간호대학교,11410640,홍제3동
A,골목상권,3110573,신촌역 6번,11440600,대흥동
A,골목상권,3110574,서강대학교,11440600,대흥동
A,골목상권,3110549,새터산,11440730,성산2동
A,골목상권,3110550,합정역 8번,11440680,합정동
A,골목상권,3111079,둔촌고등학교(둔촌중학교),11740700,둔촌2동
A,골목상권,3111080,굽은다리역 3번,11740530,명일1동
A,골목상권,3111081,둔촌푸르지오아파트,11740700,둔촌2동
A,골목상권,3111082,중앙보훈병원,11740700,둔촌2동
A,골목상권,3111083,GS강동자이아파트,11740685,길동
A,골목상권,3110593,신월3동주민센터,11470580,신월3동
A,골목상권,3110594,신월중학교,11470600,신월5동
A,골목상권,3110595,메디힐병원,11470600,신월5동
A,골목상권,3110443,수색역 1번,11380650,수색동
A,골목상권,3110575,대흥동주민센터,11440600,대흥동
A,골목상권,3110576,대흥역 3번,11440600,대흥동
A,골목상권,3110426,상계2동주민센터,11350640,상계2동
A,골목상권,3110405,방학역 1번,11320690,방학1동
A,골목상권,3110452,새절역 3번,11380632,신사2동
A,골목상권,3110557,홍대부속여중고앞,11440660,서교동
A,골목상권,3110558,경성고등학교,11440720,성산1동
A,골목상권,3110559,성산중학교,11440680,합정동
A,골목상권,3110413,누원고등학교,11320522,도봉2동
A,골목상권,3110444,수색성당,11380640,증산동
A,골목상권,3110445,덕산중학교,11380631,신사1동
A,골목상권,3110446,내를건너서숲으로도서관,11380632,신사2동
A,골목상권,3110427,노원 을지대학교병원,11350611,하계1동
